r (mm)   z (mm)   extraction (0=N/1=Y)   time (ms)
4.5 78.5 1 0.7363
2.5 64.5 0 nan
1.0 55.0 0 nan
0.5 71.0 1 0.9026
4.0 68.0 0 nan
5.5 76.5 0 nan
1.5 43.5 0 nan
2.5 68.5 0 nan
0.5 65.0 0 nan
2.0 42.0 0 nan
1.5 65.0 0 nan
1.5 51.0 0 nan
2.0 62.5 0 nan
5.0 60.0 0 nan
0.5 76.0 0 nan
2.5 67.5 0 nan
2.5 56.5 0 nan
3.5 51.0 0 nan
1.5 38.5 0 nan
4.5 68.5 0 nan
1.0 46.5 0 nan
3.0 80.0 0 nan
4.0 76.0 0 nan
4.5 68.5 0 nan
5.0 69.0 0 nan
5.5 37.0 0 nan
5.5 70.0 0 nan
2.0 80.0 0 nan
5.5 40.5 0 nan
4.5 55.0 0 nan
3.0 42.5 0 nan
5.0 47.0 0 nan
4.0 76.0 1 0.6831
4.0 40.0 0 nan
5.0 47.5 0 nan
2.0 37.0 0 nan
2.5 68.5 0 nan
4.0 80.0 1 0.4912
3.5 86.5 1 0.1072
1.0 35.5 0 nan
3.0 70.5 0 nan
1.5 82.0 1 0.6364
1.5 80.5 1 0.6183
3.0 85.5 0 nan
3.5 71.5 0 nan
2.0 55.0 0 nan
0.5 68.0 0 nan
5.5 76.0 0 nan
1.5 55.5 0 nan
5.5 60.0 0 nan
5.5 81.5 0 nan
1.5 86.0 1 0.1077
5.0 55.5 0 nan
1.5 36.0 0 nan
3.0 53.0 0 nan
3.0 56.0 0 nan
1.0 60.5 0 nan
3.5 55.0 0 nan
3.0 83.5 0 nan
0.5 43.5 0 nan
2.0 65.5 1 3.2638
3.5 59.5 0 nan
4.0 62.0 0 nan
2.0 51.0 0 nan
1.5 65.5 0 nan
4.0 46.5 0 nan
4.0 45.0 0 nan
2.0 65.5 0 nan
3.0 67.0 0 nan
4.5 82.5 0 nan
3.5 56.5 0 nan
5.5 58.0 0 nan
5.0 76.0 1 1.4205
2.0 54.5 0 nan
5.5 66.0 0 nan
4.5 87.0 0 nan
4.5 76.5 1 1.222
1.0 75.5 1 0.8126
